author,paper_count,topic_count,topics,first_seen,last_seen,papers
Xiaohan Wang,5,2,主模型、推理/RL,2024-05,2026-05,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Xiaokang Zhang,5,3,主模型、推理/RL、数学/证明,2024-12,2026-05,DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeekMath-V2；DeepSeek-V3.2；DeepSeek-V4
Xiaowen Sun,5,2,主模型、推理/RL,2024-05,2026-05,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Xiaoxiang Wang,5,2,主模型、推理/RL,2024-05,2026-05,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Xin Cheng,5,3,主模型、推理/RL、系统/效率,2024-12,2026-05,DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；Conditional Memory；DeepSeek-V4
Xinyu Yang,5,2,主模型、推理/RL,2024-05,2026-05,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Y. X. Wei,5,3,主模型、推理/RL、系统/效率,2024-05,2025-05,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；Native Sparse Attention；Insights into DeepSeek-V3
Ying Tang,5,2,主模型、推理/RL,2024-05,2026-05,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Yisong Wang,5,3,主模型、多模态、推理/RL,2024-12,2026-05,DeepSeek-V3 Technical Report；DeepSeek-VL2；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Yongqiang Guo,5,2,主模型、推理/RL,2024-05,2026-05,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Yuduan Wang,5,2,主模型、推理/RL,2024-05,2026-05,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Yukun Zha,5,2,主模型、推理/RL,2024-05,2026-05,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Yuxiang Luo,5,3,主模型、推理/RL、数学/证明,2024-12,2026-05,DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeekMath-V2；DeepSeek-V3.2；DeepSeek-V4
Zhean Xu,5,3,主模型、推理/RL、系统/效率,2024-12,2026-05,DeepSeek-V3 Technical Report；DeepSeek-R1；mHC；DeepSeek-V3.2；DeepSeek-V4
Zilin Li,5,2,主模型、推理/RL,2024-05,2026-05,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Bei Feng,4,2,主模型、推理/RL,2024-05,2025-12,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2
Bing Xue,4,2,主模型、推理/RL,2024-12,2026-05,DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Bochao Wu,4,2,主模型、推理/RL,2024-12,2026-05,DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Fucong Dai,4,2,主模型、推理/RL,2024-12,2026-05,DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
H. Zhang,4,2,主模型、推理/RL,2024-05,2025-12,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2
Haocheng Wang,4,3,主模型、推理/RL、数学/证明,2024-08,2025-04,DeepSeek-Prover-V1.5；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-Prover-V2
Haoran Wei,4,2,OCR、主模型,2025-10,2026-05,DeepSeek-OCR；DeepSeek-V3.2；DeepSeek-OCR 2；DeepSeek-V4
Hui Li,4,2,主模型、推理/RL,2024-05,2025-12,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2
J. L. Cai,4,2,主模型、推理/RL,2024-05,2025-12,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2
Jiaqi Ni,4,2,主模型、推理/RL,2024-05,2025-12,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2
Jingchang Chen,4,2,主模型、推理/RL,2024-12,2026-05,DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Junlong Li,4,2,主模型、推理/RL,2024-12,2026-05,DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Lei Xu,4,2,主模型、推理/RL,2024-05,2025-12,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2
Litong Wang,4,2,主模型、推理/RL,2024-12,2026-05,DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Meng Li,4,2,主模型、推理/RL,2024-05,2025-12,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2
Ning Tian,4,2,主模型、推理/RL,2024-05,2025-12,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2
Qiancheng Wang,4,2,主模型、推理/RL,2024-12,2026-05,DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
R. J. Chen,4,2,主模型、推理/RL,2024-05,2025-12,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2
R. L. Jin,4,2,主模型、推理/RL,2024-05,2025-12,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2
Ruisong Zhang,4,2,主模型、推理/RL,2024-12,2026-05,DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Runji Wang,4,2,主模型、推理/RL,2024-12,2026-05,DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Ruoyu Zhang,4,2,主模型、推理/RL,2024-12,2026-05,DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
S. S. Li,4,2,主模型、推理/RL,2024-05,2025-12,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2
Shengfeng Ye,4,2,主模型、推理/RL,2024-05,2025-12,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2
Shuang Zhou,4,2,主模型、推理/RL,2024-05,2025-12,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2
Shuting Pan,4,2,主模型、推理/RL,2024-12,2026-05,DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
T. Wang,4,2,主模型、推理/RL,2024-05,2025-12,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2
Tao Yun,4,2,主模型、推理/RL,2024-12,2026-05,DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Tianyu Sun,4,2,主模型、推理/RL,2024-05,2025-12,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2
Wanjia Zhao,4,3,主模型、推理/RL、数学/证明,2024-08,2025-04,DeepSeek-Prover-V1.5；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-Prover-V2
X. Q. Li,4,2,主模型、推理/RL,2024-05,2025-12,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2
Xiangyue Jin,4,2,主模型、推理/RL,2024-05,2025-12,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2
Xiaojin Shen,4,2,主模型、推理/RL,2024-05,2025-12,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2
Xiaosha Chen,4,2,主模型、推理/RL,2024-05,2025-12,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2
Xinnan Song,4,2,主模型、推理/RL,2024-05,2025-12,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2
Xinyi Zhou,4,2,主模型、推理/RL,2024-05,2025-12,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2
Xuheng Lin,4,2,主模型、推理/RL,2024-12,2026-05,DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Y. Q. Wang,4,2,主模型、推理/RL,2024-12,2026-05,DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Y. X. Zhu,4,2,主模型、推理/RL,2024-05,2025-12,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2
Yang Zhang,4,2,主模型、推理/RL,2024-12,2026-05,DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Yanping Huang,4,2,主模型、推理/RL,2024-05,2025-12,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2
Yaohui Li,4,2,主模型、推理/RL,2024-05,2025-12,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2
Yi Yu,4,2,主模型、推理/RL,2024-12,2026-05,DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Yi Zheng,4,2,主模型、推理/RL,2024-05,2025-12,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2
Yifan Shi,4,2,主模型、推理/RL,2024-12,2026-05,DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Yuan Ou,4,2,主模型、推理/RL,2024-12,2026-05,DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Yuchen Zhu,4,2,主模型、推理/RL,2024-05,2025-12,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2
Yunfan Xiong,4,2,主模型、推理/RL,2024-12,2026-05,DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Yunxian Ma,4,2,主模型、推理/RL,2024-05,2025-12,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2
Yuting Yan,4,2,主模型、推理/RL,2024-05,2026-05,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V4
Yuyang Zhou,4,2,主模型、推理/RL,2024-12,2026-05,DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Zhen Huang,4,2,主模型、推理/RL,2024-05,2025-12,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2
Zhen Zhang,4,2,主模型、推理/RL,2024-05,2025-12,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2
Zhicheng Ma,4,2,主模型、推理/RL,2024-12,2026-05,DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Zhigang Yan,4,2,主模型、推理/RL,2024-12,2026-05,DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Zhipeng Xu,4,2,主模型、推理/RL,2024-05,2025-12,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2
Zhongyu Zhang,4,2,主模型、推理/RL,2024-05,2025-12,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2
Zijia Zhu,4,2,主模型、推理/RL,2024-12,2026-05,DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Ziyi Gao,4,2,主模型、推理/RL,2024-12,2026-05,DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
